,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
1175,698000,231,missing,2022,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,Dvojček,0,Osrednjeslovenska, Ljubljana Šiška, Šiška
1176,329000,59,missing,2011,missing,missing,0,2011,"Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Delno opremljeno,4,"66,90 m²",C (35 - 60 kWh/m²a),3,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,472,Osrednjeslovenska, Ljubljana Moste Polje, Nove Jarše
1177,136900,110,missing,1972,missing,missing,0,0,Balkon,Vrt/dvorišče,missing,0,"221,50 m²",missing,9,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,631,Pomurska, Ljutomer, Ljutomer
1178,197000,113,missing,1930,missing,missing,0,2020,missing,missing,missing,0,missing,missing,0,missing,missing,Samostojna,524,Savinjska, Celje, Lava
1179,174000,174,missing,1994,missing,missing,0,0,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",Popolnoma opremljeno,0,missing,E (105 - 150 kWh/m²a),5,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Cerkvenjak, Stanetinci
1180,110000,120,missing,1980,missing,missing,0,2022,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",Neopremljeno,7,"120,00 m²",D (60 - 105 kWh/m²a),0,Pritlična,"Zidana hiša (beton, opeka)",Atrijska,960,Pomurska, Lendava, Mostje
1182,299500,0,missing,1975,missing,missing,0,0,missing,Vrt/dvorišče,missing,0,missing,missing,6,Večnadstropna,missing,Samostojna,0,Savinjska, Polzela, Polzela
1184,139900,110,missing,1965,missing,missing,0,2008,Balkon,Vrt/dvorišče,missing,0,"192,50 m²",missing,4,Visokopritlična,missing,Samostojna,629,Podravska, Ptuj, Ptuj
1186,339000,341,missing,1904,missing,missing,0,0,missing,missing,Delno opremljeno,4,"340,90 m²",F (150 - 210 kWh/m²a),0,missing,missing,missing,615,Podravska, Maribor, Studenci
1187,115000,0,missing,0,missing,missing,0,2009,Balkon,"Vrt/dvorišče, Vrtna uta",missing,0,missing,F (150 - 210 kWh/m²a),6,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Ptuj, Ptuj
1188,45000,59,missing,1966,missing,missing,0,1990,Terasa,missing,missing,0,missing,missing,1,Pritlična,missing,Samostojna,0,Pomurska, Dobrovnik, Dobrovnik
1189,175000,240,missing,2008,missing,missing,0,0,missing,missing,missing,0,missing,Ni možno izdati,6,missing,missing,Samostojna,0,Osrednjeslovenska, Grosuplje, Grosuplje
1190,290000,124,missing,2022,missing,missing,0,2022,"Balkon, Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje",missing,0,"187,40 m²",missing,5,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,536,Podravska, Hoče, Radizel
1192,194900,110,missing,2022,missing,missing,0,0,Terasa,missing,Neopremljeno,2,missing,B1 (15 - 25 kWh/m²a),3,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,350,Podravska, Rače, Fram
1195,490000,369,missing,1990,missing,missing,0,0,"Balkon, Zaprt balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",missing,4,missing,missing,0,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,Podravska, Majšperk, Podlože
1196,85000,0,missing,0,missing,missing,0,0,missing,missing,missing,0,"150,00 m²",missing,0,missing,missing,Samostojna,0,Jugovzhodna Slovenija, Žužemberk, Lopata
1197,77000,120,missing,0,missing,missing,0,0,Terasa,Vrt/dvorišče,Popolnoma opremljeno,0,missing,EI v izdelavi,0,missing,missing,Samostojna,0,Pomurska, Lendava, Lendava
1198,287000,0,missing,1937,missing,missing,0,0,missing,"Vrtna uta, Lopa za shranjevanje",missing,0,missing,G (210+ kWh/m²a),5,missing,missing,Samostojna,0,Podravska, Maribor, Malečnik
1199,369000,200,missing,2001,missing,missing,0,2021,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Popolnoma opremljeno,3,"242,00 m²",EI v izdelavi,6,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,Pomurska, Gornja Radgona, Spodnji Ivanjci
1200,149800,0,missing,1978,missing,missing,0,0,missing,Vrt/dvorišče,missing,4,missing,D (60 - 105 kWh/m²a),7,Večnadstropna,missing,Samostojna,0,Savinjska, Šentjur, Šentjur
1201,68000,95,missing,1960,missing,missing,0,0,missing,"Vrt/dvorišče, Vrtna uta",Delno opremljeno,0,"240,00 m²",missing,3,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,Posavska, Krško, Reštanj
1202,65000,90,missing,1970,missing,missing,0,1990,missing,missing,Delno opremljeno,0,"90,00 m²",missing,4,missing,"Zidana hiša (beton, opeka)",Samostojna,300,Posavska, Brežice, Krška vas
1203,185000,150,missing,1900,missing,missing,0,1990,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Potrebno obnove,7,"260,00 m²",EI ni potrebna (334. člen EZ-1),5,Dvonadstropna,Kamnita hiša,Dvostanovanjska,450,Obalno-kraška, Divača, Divača
1204,100000,120,missing,2007,missing,missing,0,2018,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",Popolnoma opremljeno,5,"180,00 m²",EI v izdelavi,2,Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,0,Podravska, Videm pri Ptuju, Ljubstava
1205,155000,215,missing,1993,missing,missing,0,2021,"Terasa, Atrij","Vrt/dvorišče, Vrtna uta",Popolnoma opremljeno,0,"134,50 m²",E (105 - 150 kWh/m²a),3,Večnadstropna,missing,Dvojček,448,Pomurska, Lendava, Lendava
1206,405000,220,missing,2021,missing,missing,0,0,missing,missing,missing,0,"220,00 m²",missing,0,missing,"Zidana hiša (beton, opeka)",Samostojna,0,Podravska, Rače, Podova
1207,78000,0,missing,1800,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor okolica, Grušova
1208,69000,40,missing,2000,missing,missing,0,0,Terasa,Vrt/dvorišče,missing,2,"17,00 m²",missing,2,Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,302,Savinjska, Šentjur, Pletovarje
