,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,OutdoorFurniture,Furniture,ParkingSpots,NetArea,EnergyClass,TotalRooms,TotalFloors,HouseMaterial,HouseType,LandArea,Region,District,Neighborhood
0,169900,67,2-bedroom,1961,V večstanovanjski stavbi,2.,2,2020,Balkon,Vrt/dvorišče,missing,0,missing,missing,0,missing,missing,missing,0,Gorenjska, Jesenice, Slovenski Javornik
2,112500,0,2-bedroom,1963,V večstanovanjski stavbi,5.,5,0,missing,missing,missing,0,"46,90 m²",F (150 - 210 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
3,148000,109,2-bedroom,1978,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"109,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
4,178000,85,missing,1988,V večstanovanjski stavbi,3.,3,2012,missing,missing,missing,0,"85,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
5,137000,60,missing,1949,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"60,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
6,125000,59,missing,1986,V večstanovanjski stavbi,4.,4,0,missing,missing,missing,0,"59,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
7,295000,75,3-bedroom,1977,V večstanovanjski stavbi,missing,4,2015,Balkon,missing,Popolnoma opremljeno,0,"76,70 m²",E (105 - 150 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
8,115000,52,2-bedroom,1980,missing,missing,8,2012,Balkon,missing,Popolnoma opremljeno,0,"58,60 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
9,175000,38,"1,5-bedroom",1960,V večstanovanjski stavbi,missing,0,2010,Balkon,missing,missing,0,"46,60 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Polje
10,157000,58,2-bedroom,1973,V večstanovanjski stavbi,4.,4,2018,missing,missing,Popolnoma opremljeno,0,"58,00 m²",missing,0,missing,missing,missing,0,Goriška, Nova Gorica, Nova Gorica
11,89000,43,missing,1978,V večstanovanjski stavbi,3.,4,0,missing,missing,missing,0,"43,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
12,149417,53,2-bedroom,2024,missing,1.,5,0,Loža,missing,missing,0,missing,B (26 do 50 kWh/m2a) - HR,0,missing,missing,missing,0,Podravska, Maribor, Studenci
14,255985,196,4-bedroom,2024,V večstanovanjski stavbi,2.,5,0,Terasa,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
15,217360,88,4-bedroom,2024,V večstanovanjski stavbi,3.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
16,169944,60,"2,5-bedroom",2024,V večstanovanjski stavbi,1.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
17,143787,52,3-bedroom,2024,V večstanovanjski stavbi,1.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
19,148992,53,2-bedroom,2024,V večstanovanjski stavbi,1.,5,0,Atrij,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
20,208126,80,3-bedroom,2024,V večstanovanjski stavbi,4.,5,0,Loža,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
21,189000,87,2-bedroom,1959,V večstanovanjski stavbi,1.,2,2017,Balkon,missing,Popolnoma opremljeno,1,"107,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Studenci
22,101000,0,"2,5-bedroom",1962,V večstanovanjski stavbi,4.,0,0,Balkon,missing,missing,0,"62,10 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Savinjska, Celje, Dečkovo polje
23,230000,137,6 in večbedroom,1999,V večstanovanjski stavbi,missing,3,0,Balkon,missing,Delno opremljeno,0,"152,70 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
24,139000,47,2-bedroom,1955,V večstanovanjski stavbi,missing,0,2018,missing,missing,Delno opremljeno,1,"58,30 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tabor
25,166500,62,3-bedroom,1968,V večstanovanjski stavbi,7.,9,2021,Balkon,missing,Popolnoma opremljeno,2,"66,70 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Magdalena
26,80800,30,1-bedroom,1974,V večstanovanjski stavbi,4.,0,2012,Balkon,missing,missing,0,"37,50 m²",missing,0,missing,missing,missing,0,Obalno-kraška, Sežana, Sežana
28,250000,81,4-bedroom,1962,missing,1.,4,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Vič Rudnik, Kolezija
29,580000,147,missing,2009,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Obalno-kraška, Koper, Ankaran
30,169000,66,3-bedroom,1967,V večstanovanjski stavbi,4.,4,2014,missing,missing,missing,1,"67,50 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
31,395000,0,2-bedroom,1989,missing,missing,0,0,missing,missing,missing,1,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Zupančičeva jama
32,133000,84,"3,5-bedroom",1989,missing,4.,4,0,missing,missing,missing,0,"92,98 m²",missing,0,missing,missing,missing,0,Podravska, Ptuj, Ptuj
33,165300,66,2-bedroom,2010,V večstanovanjski stavbi,3.,3,0,Balkon,missing,missing,2,"66,00 m²",missing,0,missing,missing,missing,0,Savinjska, Vojnik, Vojnik
34,149000,88,3-bedroom,2007,V večstanovanjski stavbi,3.,3,0,missing,missing,Popolnoma opremljeno,0,"92,00 m²",missing,0,missing,missing,missing,0,Podravska, Duplek, Spodnji Duplek
35,87000,35,1-bedroom,0,missing,4.,0,0,missing,missing,missing,0,"37,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Tezno
36,132000,56,2-bedroom,1968,V večstanovanjski stavbi,3.,4,2022,missing,missing,Delno opremljeno,0,"56,00 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tezno
37,210000,0,3-bedroom,1964,V večstanovanjski stavbi,2.,4,2014,"Balkon, Zaprt balkon",Vrt/dvorišče,Popolnoma opremljeno,1,"76,20 m²",EI v izdelavi,0,missing,missing,missing,0,Savinjska, Celje, Center
40,259790,59,"2,5-bedroom",2022,V večstanovanjski stavbi,1.,3,0,"Balkon, Terasa, Atrij",Vrt/dvorišče,Delno opremljeno,0,"73,49 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Radvanje
41,199206,57,2-bedroom,2022,V večstanovanjski stavbi,1.,4,0,"Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",Delno opremljeno,0,"65,00 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Studenci
42,109900,61,2-bedroom,1977,V večstanovanjski stavbi,4.,5,2019,missing,missing,missing,2,"61,00 m²",missing,0,missing,missing,missing,0,Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah
43,159000,83,missing,2012,V večstanovanjski stavbi,2.,7,0,missing,missing,missing,0,"83,00 m²",missing,0,missing,missing,missing,0,Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah
44,109000,28,missing,1960,V večstanovanjski stavbi,2.,2,2019,missing,missing,missing,0,"28,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Moste Polje, Bizovik
45,105000,80,3-bedroom,1972,V večstanovanjski stavbi,1.,2,2013,missing,missing,missing,0,"80,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor okolica, Razvanje
48,155000,95,4-bedroom,1996,V večstanovanjski stavbi,1.,2,2018,missing,"Vrt/dvorišče, Lopa za shranjevanje",Popolnoma opremljeno,0,"125,00 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Kamnica
49,89000,43,1-bedroom,1978,V večstanovanjski stavbi,3.,4,0,missing,missing,Delno opremljeno,0,"43,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
50,198000,62,3-bedroom,1999,V večstanovanjski stavbi,missing,0,0,Atrij,missing,missing,0,"124,30 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
51,130000,0,3-bedroom,1960,V večstanovanjski stavbi,3.,4,0,missing,missing,Neopremljeno,0,"71,60 m²",missing,0,missing,missing,missing,0,Podravska, Slovenska Bistrica, Slovenska Bistrica
52,218000,93,"2,5-bedroom",1938,missing,3.,0,2017,missing,missing,missing,0,missing,B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Center
53,374830,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"118,30 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
54,255536,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"79,43 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
55,222000,71,"3,5-bedroom",1948,V večstanovanjski stavbi,2.,2,2011,Balkon,missing,Delno opremljeno,0,"100,40 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
57,133686,0,2-bedroom,0,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Pesnica pri Mariboru, Pesnica pri Mariboru
58,70000,31,1-bedroom,1935,missing,missing,0,2021,missing,missing,missing,0,"31,00 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
59,135000,60,2-bedroom,1990,V večstanovanjski stavbi,1.,2,2019,Balkon,Lopa za shranjevanje,Popolnoma opremljeno,2,"50,00 m²",missing,0,missing,missing,missing,0,Podravska, Slovenska Bistrica, Slovenska Bistrica
63,75000,31,Studio,2006,V večstanovanjski stavbi,1.,3,0,Balkon,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
65,460000,110,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
66,575000,131,4-bedroom,2021,V hiši,missing,2,0,"Balkon, Terasa",missing,Delno opremljeno,2,"149,55 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
67,277244,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"88,00 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
68,460000,110,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
69,298000,71,3-bedroom,1982,missing,missing,0,0,Balkon,missing,missing,0,"78,90 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
70,218767,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"67,89 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
72,394000,0,3-bedroom,2012,V večstanovanjski stavbi,missing,0,0,Zaprt balkon,missing,Delno opremljeno,1,"74,55 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
73,500365,0,6 in večbedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,4,"214,35 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
74,446000,96,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,Neopremljeno,2,"136,25 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
75,311874,0,4-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"100,85 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
76,480000,110,4-bedroom,2021,V hiši,missing,2,0,"Balkon, Terasa",missing,Neopremljeno,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
77,469000,95,4-bedroom,2021,V hiši,missing,1,0,"Balkon, Atrij, Terasa",missing,Neopremljeno,2,"138,54 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
78,480000,110,4-bedroom,2021,V hiši,missing,2,0,"Balkon, Terasa",missing,Neopremljeno,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
79,460000,95,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"141,88 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
80,470000,70,2-bedroom,1921,missing,missing,5,2004,Balkon,missing,missing,0,"76,40 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
81,156019,0,1-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"40,81 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
82,915000,119,3-bedroom,2022,V večstanovanjski stavbi,missing,6,0,missing,missing,Neopremljeno,0,"168,95 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
84,449000,95,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"138,54 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
85,471000,95,4-bedroom,2021,V hiši,missing,1,0,"Balkon, Atrij, Terasa",missing,Neopremljeno,2,"137,70 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
86,513743,0,6 in večbedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,4,"214,35 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
87,655000,156,4-bedroom,0,V večstanovanjski stavbi,missing,0,2018,missing,missing,missing,0,"156,10 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
89,575000,131,4-bedroom,2021,V hiši,missing,2,0,"Balkon, Terasa",missing,Delno opremljeno,2,"149,55 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
90,485000,110,4-bedroom,1895,V večstanovanjski stavbi,missing,3,2011,missing,missing,Popolnoma opremljeno,2,"110,00 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
91,239000,0,"2,5-bedroom",1959,V večstanovanjski stavbi,missing,0,0,Terasa,missing,Popolnoma opremljeno,0,"56,50 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
92,779500,140,4-bedroom,2020,V večstanovanjski stavbi,missing,3,0,"Atrij, Terasa",Vrt/dvorišče,Neopremljeno,2,"367,00 m²",A2 (10 - 15 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Trnovo
94,480000,110,4-bedroom,2021,V hiši,missing,2,0,"Balkon, Terasa",missing,Neopremljeno,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
95,303554,0,6 in večbedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"101,72 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
96,394000,75,3-bedroom,2012,V večstanovanjski stavbi,missing,0,0,Zaprt balkon,missing,Delno opremljeno,1,"74,55 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
97,480000,95,4-bedroom,2021,V hiši,missing,1,0,"Balkon, Atrij, Terasa",missing,Neopremljeno,2,"141,88 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
98,445000,95,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"135,70 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
99,451000,95,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"137,70 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
100,354847,0,3-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"107,25 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
101,300000,80,3-bedroom,2010,V hiši,missing,2,0,Balkon,missing,Delno opremljeno,2,"90,30 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
102,400000,0,3-bedroom,0,V večstanovanjski stavbi,missing,0,2005,missing,missing,Delno opremljeno,0,"94,50 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
103,471000,95,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"137,70 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
105,480000,110,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,missing,missing,missing,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
106,575000,131,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,missing,2,"149,55 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
107,468000,96,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,"Balkon, Atrij",missing,Neopremljeno,2,"136,25 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
108,465000,95,4-bedroom,2021,V hiši,missing,1,0,"Balkon, Atrij, Terasa",missing,Neopremljeno,2,"135,70 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
109,156019,0,1-bedroom,0,V večstanovanjski stavbi,missing,3,0,"Balkon, Atrij, Terasa",missing,missing,2,"40,81 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Savinjska, Vransko, Vransko
110,650000,99,4-bedroom,1910,missing,missing,4,2022,missing,missing,Popolnoma opremljeno,0,"120,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
112,399000,131,6 in večbedroom,1895,missing,missing,3,0,missing,missing,Delno opremljeno,0,"136,00 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Center
113,460000,110,4-bedroom,2021,V večstanovanjski stavbi,missing,2,0,missing,missing,missing,2,"132,65 m²",EI v izdelavi,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Šmartno pod Šmarno goro
114,76500,66,1-bedroom,1860,V večstanovanjski stavbi,1.,0,0,Balkon,missing,missing,0,"55,50 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Savinja
115,104000,52,2-bedroom,1897,V večstanovanjski stavbi,1.,1,2017,Balkon,Lopa za shranjevanje,missing,1,missing,G (250 do 1000 kWh/m2a) - HR,0,missing,missing,missing,0,Podravska, Maribor, Center
117,3100,63,Drugo,1890,V večstanovanjski stavbi,1.,3,1994,missing,missing,missing,2,"63,00 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Center, Mirje
118,89900,44,1-bedroom,1984,V večstanovanjski stavbi,missing,0,0,missing,missing,missing,0,"44,50 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Nova Vas
119,315000,76,3-bedroom,2023,V večstanovanjski stavbi,1.,2,0,Balkon,missing,missing,2,"95,50 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
120,327000,84,4-bedroom,2023,V večstanovanjski stavbi,1.,2,0,Balkon,missing,missing,2,"109,50 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
121,223000,48,1-bedroom,2023,V večstanovanjski stavbi,1.,2,0,Balkon,missing,missing,1,"62,50 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
124,150000,80,"3,5-bedroom",1976,V večstanovanjski stavbi,4.,6,0,Balkon,missing,missing,0,"88,10 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Magdalena
125,234000,91,4-bedroom,2010,V večstanovanjski stavbi,6.,0,0,Loža,missing,missing,1,"112,20 m²",C (51 do 100 kWh/m2a) - HR,0,missing,missing,missing,0,Podravska, Maribor, Tabor
126,92000,50,2-bedroom,1964,missing,3.,4,2022,Balkon,missing,missing,0,"59,50 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Ostalo
127,395000,150,5-bedroom,1979,V hiši,missing,1,2019,"Terasa, Atrij",Vrt/dvorišče,missing,0,"230,00 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
128,235000,163,5-bedroom,1852,V večstanovanjski stavbi,1.,2,0,"Balkon, Zaprt balkon",missing,Delno opremljeno,0,"191,00 m²",missing,0,missing,missing,missing,0,Gorenjska, Tržič, Tržič
129,44300,49,2-bedroom,0,V večstanovanjski stavbi,1.,1,0,Terasa,missing,missing,7,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Center
130,122000,52,2-bedroom,1967,V večstanovanjski stavbi,2.,5,0,missing,missing,Popolnoma opremljeno,0,"55,90 m²",missing,0,missing,missing,missing,0,Podravska, Maribor, Radvanje
132,156000,68,"2,5-bedroom",1960,V večstanovanjski stavbi,2.,6,2015,Balkon,missing,Popolnoma opremljeno,1,"68,00 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Tabor
133,83000,0,3-bedroom,1917,V večstanovanjski stavbi,3.,3,2015,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Gorenjska, Tržič, Bistrica pri Tržiču
134,180000,51,3-bedroom,1972,V večstanovanjski stavbi,5.,5,2007,Terasa,missing,Popolnoma opremljeno,1,missing,EI v izdelavi,0,missing,missing,missing,0,Obalno-kraška, Piran, Lucija
136,75990,36,1-bedroom,1969,V večstanovanjski stavbi,2.,5,2014,missing,missing,Delno opremljeno,0,missing,EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tabor
137,195000,100,"3,5-bedroom",1979,V večstanovanjski stavbi,8.,8,0,missing,missing,missing,0,missing,EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Tabor
138,128000,57,"2,5-bedroom",1965,V večstanovanjski stavbi,3.,12,2012,Balkon,missing,missing,0,"54,00 m²",missing,0,missing,missing,missing,0,Savinjska, Celje, Gaberje
140,235000,69,4-bedroom,1997,V večstanovanjski stavbi,1.,3,2018,"Balkon, Loža","Vrt/dvorišče, Vrtna uta, Žar",Popolnoma opremljeno,2,"86,00 m²",B2 (25 - 35 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Medvode, Medvode
141,310000,50,3-bedroom,1900,V večstanovanjski stavbi,3.,0,2016,missing,missing,missing,0,missing,EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Obalno-kraška, Piran, Piran
142,120000,56,2-bedroom,1978,V večstanovanjski stavbi,3.,4,2016,Balkon,missing,Delno opremljeno,1,"63,20 m²",C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
143,120000,60,2-bedroom,1975,V večstanovanjski stavbi,4.,5,2014,Balkon,missing,Popolnoma opremljeno,1,missing,C (35 - 60 kWh/m2a),0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
144,329000,81,4-bedroom,2012,V večstanovanjski stavbi,3.,4,0,Loža,missing,Popolnoma opremljeno,1,"87,50 m²",B1 (15 - 25 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Domžale, Zgornje Jarše
146,165000,28,1-bedroom,1971,V večstanovanjski stavbi,3.,3,2012,missing,missing,missing,0,"30,82 m²",missing,0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
147,195000,68,3-bedroom,1909,V večstanovanjski stavbi,1.,4,2021,missing,Vrt/dvorišče,Delno opremljeno,1,"74,60 m²",EI v izdelavi,0,missing,missing,missing,0,Podravska, Maribor, Center
148,150000,45,2-bedroom,1981,V večstanovanjski stavbi,1.,4,2014,missing,missing,missing,0,"45,00 m²",missing,0,missing,missing,missing,0,Gorenjska, Škofja Loka, Škofja Loka
149,298000,73,3-bedroom,1980,V večstanovanjski stavbi,missing,21,0,"Balkon, Zaprt balkon",missing,Popolnoma opremljeno,0,"80,90 m²",D (60 - 105 kWh/m2a),0,missing,missing,missing,0,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
150,215000,93,3-bedroom,2009,V večstanovanjski stavbi,2.,2,2021,Balkon,missing,Popolnoma opremljeno,0,"104,20 m²",missing,0,missing,missing,missing,0,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
151,90000,22,Studio,0,V večstanovanjski stavbi,1.,0,2019,missing,missing,missing,0,"24,56 m²",missing,0,missing,missing,missing,0,Gorenjska, Kranj, Kranj
152,154000,51,2-bedroom,1966,V večstanovanjski stavbi,5.,5,2017,missing,missing,Popolnoma opremljeno,0,"53,00 m²",EI ni potrebna (334. člen EZ-1),0,missing,missing,missing,0,Savinjska, Celje, Slavko Šlander
157,265950,136,3-bedroom,2023,missing,3.,3,0,Terasa,missing,missing,0,missing,missing,0,missing,missing,missing,0,Podravska, Maribor, Pobrežje
159,46000,39,Studio,1963,V večstanovanjski stavbi,1.,3,0,missing,missing,Popolnoma opremljeno,0,"43,00 m²",missing,0,missing,missing,missing,0,Podravska, Šentilj v Slovenskih goricah, Sladki Vrh
160,171000,0,2-bedroom,1920,missing,missing,0,0,missing,missing,missing,0,missing,missing,0,missing,missing,missing,0,Savinjska, Celje, Celje
