,Price,SurfaceArea,ApartmentType,YearBuilt,ApartmentSetting,FloorNumber,TotalFloorsInBuilding,YearRenovated,BalconyTerraceAtrium,Furniture,ParkingSpots,EnergyClass,Region,District,Neighborhood
475,65000,14,Garsonjera,1964,V večstanovanjski stavbi,14.,14,2020,Terasa,Popolnoma opremljeno,,A1 (0 - 10 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
476,240000,71,,1975,,,0,0,,,,,Obalno-kraška, Koper, Koper
477,399000,78,"2,5-sobno",1899,V večstanovanjski stavbi,1.,3,1993,,Popolnoma opremljeno,,EI v izdelavi,Osrednjeslovenska, Ljubljana Center, Center
478,115000,70,3-sobno,1972,V večstanovanjski stavbi,1.,2,2021,Balkon,Delno opremljeno,,,Koroška, Črna na Koroškem, Črna na Koroškem
479,139900,58,"2,5-sobno",1969,V večstanovanjski stavbi,1.,5,0,"Balkon, Zaprt balkon",Popolnoma opremljeno,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Betnava
481,269000,79,3-sobno,1978,V večstanovanjski stavbi,,10,2005,Balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,EI v izdelavi,Osrednjeslovenska, Ljubljana Šiška, Dravlje
482,90000,83,3-sobno,1920,V večstanovanjski stavbi,Pritličje,0,2005,,Popolnoma opremljeno,,EI v izdelavi,Podravska, Maribor, Radvanje
483,169000,61,2-sobno,1954,V večstanovanjski stavbi,2.,2,2012,"Balkon, Loža",Popolnoma opremljeno,brez pripadajočega parkirišča,,Savinjska, Celje, Dolgo polje
484,90000,57,2-sobno,1989,V večstanovanjski stavbi,Visoko pritličje,1,2020,Terasa,,1,EI v izdelavi,Podravska, Maribor, Radvanje
485,139000,62,3-sobno,2005,V večstanovanjski stavbi,,0,0,,,2,EI v izdelavi,Pomurska, Murska Sobota, Murska Sobota
486,117729,73,3-sobno,2022,V večstanovanjski stavbi,1.,0,0,Terasa,,1,,Pomurska, Turnišče, Turnišče
487,149000,144,3-sobno,1989,V hiši,Pritličje,1,2005,"Terasa, Atrij",Popolnoma opremljeno,1,EI v izdelavi,Podravska, Maribor, Radvanje
488,325000,0,4-sobno,2010,V večstanovanjski stavbi,6.,6,0,Terasa,Popolnoma opremljeno,2,,Savinjska, Celje, Celje
489,267000,63,"2,5-sobno",1954,V večstanovanjski stavbi,2.,2,2001,Balkon,Popolnoma opremljeno,,F (150 - 210 kWh/m2a),Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
490,123000,0,3-sobno,1986,,,0,0,,,,D (60 - 105 kWh/m2a),Podravska, Ptuj, Ptuj
491,129900,74,3-sobno,2012,V večstanovanjski stavbi,1.,5,0,,,2,,Pomurska, Gornja Radgona, Spodnja Ščavnica
492,270000,68,3-sobno,1977,V večstanovanjski stavbi,,0,2020,Balkon,,brez pripadajočega parkirišča,C (35 - 60 kWh/m2a),Osrednjeslovenska, Domžale, Domžale
493,58800,64,3-sobno,1901,V večstanovanjski stavbi,2.,3,2021,,Popolnoma opremljeno,1,,Podravska, Ruše, Smolnik
494,238000,48,,2008,,,0,0,,,,,Obalno-kraška, Piran, Piran
495,197000,111,3-sobno,2007,V večstanovanjski stavbi,2.,2,0,,Delno opremljeno,,,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
496,135000,103,2-sobno,1929,,1.,1,2005,,,,D (60 - 105 kWh/m2a),Podravska, Maribor, Tabor
497,230000,56,2-sobno,1982,V večstanovanjski stavbi,,7,0,"Balkon, Zaprt balkon",Popolnoma opremljeno,brez pripadajočega parkirišča,,Osrednjeslovenska, Ljubljana Moste Polje, Moste
498,129942,74,3-sobno,1980,,,0,2008,,Delno opremljeno,,,Podravska, Ptuj, Ptuj
499,267000,58,,1978,V večstanovanjski stavbi,4.,4,0,,,,,Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad
500,395000,91,,1995,,,0,2018,,,,,Obalno-kraška, Izola, Jagodje
501,250000,110,3-sobno,1937,V hiši,2.,2,2003,Balkon,,,,Gorenjska, Kranj, Kranj
502,189000,65,3-sobno,1989,,4.,4,2006,,,,,Gorenjska, Kranj, Kranj
503,239000,0,"2,5-sobno",1976,,,0,0,,,,C (35 - 60 kWh/m2a),Obalno-kraška, Izola, Izola
504,149990,0,3-sobno,1935,,,3,0,,,,C (35 - 60 kWh/m2a),Podravska, Maribor, Tezno
505,109000,0,"1,5-sobno",1985,,,0,0,,,,D (60 - 105 kWh/m2a),Podravska, Maribor, Nova Vas
506,129000,0,5-sobno,1911,,,1,0,,,,EI ni potrebna (334. člen EZ-1),Podravska, Maribor, Center
507,93000,37,1-sobno,1966,V večstanovanjski stavbi,3.,5,2016,,Popolnoma opremljeno,,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Betnava
508,98000,43,"1,5-sobno",1905,V večstanovanjski stavbi,1.,0,0,,,,,Savinjska, Rogaška Slatina, Rogaška Slatina
509,255000,56,2-sobno,1977,V večstanovanjski stavbi,1.,10,2022,Balkon,Popolnoma opremljeno,1,,Osrednjeslovenska, Ljubljana Šiška, Dravlje
510,123500,0,2-sobno,1985,,,0,0,,,,Ni možno izdati,Podravska, Maribor, Pobrežje
511,140000,68,3-sobno,0,,10.,12,0,Balkon,,,,Podravska, Maribor, Pobrežje
512,270000,154,4-sobno,1941,V večstanovanjski stavbi,3.,0,0,Balkon,,,,Podravska, Maribor, Center
513,85000,36,1-sobno,1900,V večstanovanjski stavbi,Pritličje,0,2022,,,,,Podravska, Ruše, Ruše
514,165000,88,3-sobno,1956,V večstanovanjski stavbi,3.,4,0,,Popolnoma opremljeno,,,Podravska, Maribor, Tabor
515,169000,28,Garsonjera,1970,,2.,14,0,,,,B2 (25 - 35 kWh/m2a),Osrednjeslovenska, Ljubljana Šiška, Zgornja Šiška
516,159000,72,3-sobno,1967,V večstanovanjski stavbi,,4,0,Balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,EI v izdelavi,Podravska, Maribor, Tabor
517,178933,76,4-sobno,2022,V večstanovanjski stavbi,,0,0,Balkon,,brez pripadajočega parkirišča,,Pomurska, Apače, Apače
518,92490,49,3-sobno,1920,V večstanovanjski stavbi,4.,4,2017,Terasa,,,D (60 - 105 kWh/m2a),Podravska, Maribor, Pobrežje
519,60000,31,1-sobno,1910,V večstanovanjski stavbi,1.,2,0,Balkon,Potrebno obnove,,,Podravska, Maribor, Center
520,85000,0,2-sobno,1900,,3.,3,0,,,,Ni možno izdati,Podravska, Maribor, Center
521,79000,0,3-sobno,1900,,2.,3,0,,,,Ni možno izdati,Podravska, Maribor, Center
522,139000,0,2-sobno,1900,,2.,3,0,,,,Ni možno izdati,Podravska, Maribor, Center
523,185000,0,2-sobno,1900,,2.,3,0,,,,Ni možno izdati,Podravska, Maribor, Center
524,125000,47,2-sobno,1975,V večstanovanjski stavbi,,14,0,Zaprt balkon,Delno opremljeno,brez pripadajočega parkirišča,B2 (25 - 35 kWh/m2a),Podravska, Maribor, Tezno
525,267000,54,2-sobno,1976,V večstanovanjski stavbi,4.,4,2019,Balkon,Popolnoma opremljeno,1,D (60 - 105 kWh/m2a),Osrednjeslovenska, Ljubljana Bežigrad, BS 3
526,49000,86,3-sobno,1800,V večstanovanjski stavbi,2.,2,0,,Neopremljeno,,,Koroška, Podvelka, Podvelka
527,146000,73,3-sobno,1980,V večstanovanjski stavbi,,8,0,Zaprt balkon,Popolnoma opremljeno,brez pripadajočega parkirišča,D (60 - 105 kWh/m2a),Savinjska, Štore, Štore
