,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
49,235000,221,6,2018,Pritlična,Lesena hiša,Samostojna,986,0,Delno opremljeno,6,"Balkon, Zaprt balkon, Terasa, Loža",Vrt/dvorišče,EI v izdelavi,Pomurska, Tišina, Sodišinci
50,250000,183,,1970,,"Zidana hiša (beton, opeka)",Samostojna,0,2002,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
52,475000,221,,2018,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,406,0,Delno opremljeno,4,Balkon,Vrt/dvorišče,,Gorenjska, Tržič, Bistrica pri Tržiču
53,146000,121,,1913,Dvonadstropna,,Samostojna,228,2016,,1,,,,Gorenjska, Kranj, Kranj
54,90000,120,,0,Pritlična,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,2019,,,,,,Podravska, Ormož, Svetinje
55,240000,180,7,1984,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,900,0,Delno opremljeno,7+,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Posavska, Brežice, Dobova
56,473500,320,6,2004,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Neopremljeno,,"Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje, Žar",,Osrednjeslovenska, Škofljica, Škofljica
60,325000,230,5,1972,,"Zidana hiša (beton, opeka)",Samostojna,950,0,,,,,,Gorenjska, Cerklje na Gorenjskem, Cerklje na Gorenjskem
62,39000,67,2,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2021,Neopremljeno,,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",EI v izdelavi,Pomurska, Lendava, Lendava
64,269000,166,6,2003,Večnadstropna,"Zidana hiša (beton, opeka)",Dvojček,178,0,,,"Balkon, Atrij",Vrt/dvorišče,,Goriška, Bovec, Bovec
65,164000,82,4,1995,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,778,2015,Popolnoma opremljeno,3,"Balkon, Loža","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",,Podravska, Maribor okolica, Jelovec
66,195000,160,9,0,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,375,2020,,,"Balkon, Terasa",,,Podravska, Hoče, Hoče
67,150000,148,5,1970,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,1999,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",C (35 - 60 kWh/m²a),Pomurska, Gornja Radgona, Orehovski Vrh
68,99900,170,9,1914,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,780,2020,Popolnoma opremljeno,,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Pomurska, Turnišče, Gomilica
69,195000,220,5,1900,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2011,,,Terasa,,C (35 - 60 kWh/m²a),Jugovzhodna Slovenija, Črnomelj, Črnomelj
70,249000,254,9,1980,Dvonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,2013,Delno opremljeno,7+,"Balkon, Zaprt balkon, Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje",G (210+ kWh/m²a),Podravska, Kungota, Gradiška
72,370000,282,5,1970,,"Zidana hiša (beton, opeka)",Samostojna,900,2005,Delno opremljeno,brez pripadajočega parkirišča,,,,Podravska, Maribor, Studenci
73,449000,137,5,2006,,,Samostojna,602,0,Popolnoma opremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,D (60 - 105 kWh/m²a),Gorenjska, Naklo, Podbrezje
74,170000,129,,1940,,,Samostojna,0,2003,,,,"Vrt/dvorišče, Lopa za shranjevanje",G (210+ kWh/m²a),Podravska, Miklavž na Dravskem polju, Dobrovce
75,420000,144,4,2019,Dvonadstropna,,Dvojček,172,0,,,,,C (35 - 60 kWh/m²a),Osrednjeslovenska, Brezovica pri Ljubljani, Jezero
78,135000,78,3,1929,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,182,2015,Popolnoma opremljeno,2,,Vrt/dvorišče,,Podravska, Maribor, Tabor
79,225000,151,4,1959,,,Samostojna,519,2019,Popolnoma opremljeno,,Balkon,Vrt/dvorišče,,Podravska, Maribor, Tezno
80,139900,120,5,1991,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2021,,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",F (150 - 210 kWh/m²a),Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah
81,75000,53,3,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Maribor, Center
82,105000,177,,1968,,,Samostojna,0,2008,,,,,,Savinjska, Šmarje pri Jelšah, Šentvid pri Grobelnem
83,119000,158,,1990,,,Samostojna,0,2020,Delno opremljeno,,"Balkon, Terasa",,B2 (25 - 35 kWh/m²a),Podravska, Ormož, Loperšice
87,140000,0,,0,,,,0,0,,,,,,Savinjska, Zreče, Skomarje
88,110000,110,,1988,Enonadstropna,,Samostojna,0,0,Popolnoma opremljeno,,Terasa,"Vrt/dvorišče, Vrtna uta",EI v izdelavi,Podravska, Šentilj v Slovenskih goricah, Zgornja Velka
89,100000,120,3,1980,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2015,Delno opremljeno,,,,,Podravska, Ptuj, Spuhlja
92,459000,277,5,1820,,"Zidana hiša (beton, opeka)",,238,2016,Popolnoma opremljeno,,,,,Osrednjeslovenska, Kamnik, Kamnik
93,499940,172,6,2021,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,385,0,Neopremljeno,2,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Vrtna uta, Žar, Bazen",B1 (15 - 25 kWh/m²a),Podravska, Maribor, Radvanje
94,328500,140,6,2021,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,137,0,Neopremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",B1 (15 - 25 kWh/m²a),Podravska, Maribor, Radvanje
95,340000,190,5,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,460,0,Nedokončana gradnja,2,,Vrt/dvorišče,,Osrednjeslovenska, Medvode, Rakovnik
98,350000,0,6,2022,Večnadstropna,,Samostojna,0,0,,,,Bazen,,Savinjska, Vojnik, Frankolovo
99,204000,0,5,1993,,,Samostojna,0,0,,4,,Vrt/dvorišče,,Savinjska, Žalec, Žalec
100,105000,76,3,1956,,,Samostojna,0,0,Delno opremljeno,,,"Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Podravska, Duplek, Spodnji Duplek
102,350000,274,7,1979,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,794,2015,Popolnoma opremljeno,6,"Balkon, Zaprt balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",D (60 - 105 kWh/m²a),Podravska, Duplek, Spodnji Duplek
103,199000,437,10+,1980,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2018,Popolnoma opremljeno,5,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",,Jugovzhodna Slovenija, Metlika, Metlika
104,228000,202,5,1977,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,1,,,,Goriška, Kanal ob Soči, Ročinj
105,249000,158,6,2022,,,Samostojna,505,0,,2,,,,Podravska, Hoče, Rogoza
106,162000,156,7,1964,,,Samostojna,763,2001,Delno opremljeno,2,Terasa,Vrt/dvorišče,D (60 - 105 kWh/m²a),Pomurska, Gornja Radgona, Gornja Radgona
107,230000,82,10+,2000,,,Ostalo,309,0,,,,,E (105 - 150 kWh/m²a),Goriška, Bovec, Bovec
108,45000,60,10+,1931,,,Vrstna,142,0,,,,,G (210+ kWh/m²a),Goriška, Šempeter pri Gorici, Vrtojba
109,265000,130,5,0,Enonadstropna,,Samostojna,255,0,,,,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Maribor, Tezno
110,195000,0,,0,,,Kmetija,0,0,,,,,,Posavska, Krško, Selo
111,334000,86,7,1937,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2005,Popolnoma opremljeno,4,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Žar",D (60 - 105 kWh/m²a),Osrednjeslovenska, Medvode, Medvode
112,245000,98,,1900,Enonadstropna,Kamnita hiša,Vrstna,38,2000,,,Balkon,Vrt/dvorišče,,Obalno-kraška, Koper, Škofije
113,199000,150,6,1995,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,150,2013,,,"Balkon, Terasa",,,Pomurska, Murska Sobota, Satahovci
114,220000,257,7,2000,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,220,0,Delno opremljeno,4,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",E (105 - 150 kWh/m²a),Jugovzhodna Slovenija, Novo mesto, Otočec
115,99000,144,,2000,,,Samostojna,0,2008,,,,,,Savinjska, Vojnik, Male Dole
116,130000,82,,1937,,,Samostojna,0,2021,,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Pomurska, Puconci, Puconci
117,195000,0,9,1923,,,Samostojna,0,0,,,,Vrt/dvorišče,G (210+ kWh/m²a),Zasavska, Trbovlje, Trbovlje
118,189000,0,5,1974,,,Samostojna,0,0,,4,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",EI ni potrebna (334. člen EZ-1),Podravska, Gorišnica, Gorišnica
120,260000,170,7,2005,Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,296,0,Delno opremljeno,,"Balkon, Terasa",Vrt/dvorišče,EI v izdelavi,Podravska, Maribor, Pobrežje
121,299900,0,5,1920,,"Zidana hiša (beton, opeka)",Samostojna,0,2015,Popolnoma opremljeno,1,,,,Goriška, Idrija, Črni Vrh nad Idrijo
122,299000,1,5,1920,,"Zidana hiša (beton, opeka)",Kmetija,1,2015,Popolnoma opremljeno,1,,,,Goriška, Idrija, Črni Vrh nad Idrijo
123,170000,84,4,1838,,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,2000,Neopremljeno,2,,,,Podravska, Miklavž na Dravskem polju, Dobrovce
124,320000,114,4,1998,,,Dvojček,376,0,,brez pripadajočega parkirišča,,,EI v izdelavi,Osrednjeslovenska, Dol pri Ljubljani, Dolsko
125,83000,182,,1963,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,,Vrt/dvorišče,EI v izdelavi,Pomurska, Ljutomer, Cven
126,175000,204,4,2020,,"Zidana hiša (beton, opeka)",Samostojna,731,0,,,,,,Podravska, Kidričevo, Kidričevo
127,82000,90,3,1965,,"Zidana hiša (beton, opeka)",Samostojna,0,2000,Popolnoma opremljeno,,,,,Podravska, Selnica ob Dravi, Zgornja Selnica
128,86000,240,3,1990,,"Zidana hiša (beton, opeka)",Samostojna,0,2006,,,,,,Podravska, Sv. Ana v Slovenskih goricah, Lokavec
129,229000,119,4,1968,,,Samostojna,664,2014,Popolnoma opremljeno,,"Balkon, Terasa",,E (105 - 150 kWh/m²a),Podravska, Ptuj, Ptuj
131,329000,59,3,2011,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,472,2011,Delno opremljeno,4,"Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",C (35 - 60 kWh/m²a),Osrednjeslovenska, Ljubljana Moste Polje, Nove Jarše
132,136900,110,9,1972,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,631,0,,,Balkon,Vrt/dvorišče,,Pomurska, Ljutomer, Ljutomer
133,197000,113,,1930,,,Samostojna,524,2020,,,,,,Savinjska, Celje, Lava
134,174000,174,5,1994,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar",E (105 - 150 kWh/m²a),Podravska, Cerkvenjak, Stanetinci
135,110000,120,,1980,Pritlična,"Zidana hiša (beton, opeka)",Atrijska,960,2022,Neopremljeno,7+,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",D (60 - 105 kWh/m²a),Pomurska, Lendava, Mostje
137,299500,0,6,1975,Večnadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Polzela, Polzela
139,139900,110,4,1965,Visokopritlična,,Samostojna,629,2008,,,Balkon,Vrt/dvorišče,,Podravska, Ptuj, Ptuj
141,339000,341,,1904,,,,615,0,Delno opremljeno,4,,,F (150 - 210 kWh/m²a),Podravska, Maribor, Studenci
142,115000,0,6,0,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2009,,,Balkon,"Vrt/dvorišče, Vrtna uta",F (150 - 210 kWh/m²a),Podravska, Ptuj, Ptuj
143,45000,59,1,1966,Pritlična,,Samostojna,0,1990,,,Terasa,,,Pomurska, Dobrovnik, Dobrovnik
144,175000,240,6,2008,,,Samostojna,0,0,,,,,Ni možno izdati,Osrednjeslovenska, Grosuplje, Grosuplje
145,290000,124,5,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,536,2022,,,"Balkon, Terasa, Atrij","Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Hoče, Radizel
147,194900,110,3,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,350,0,Neopremljeno,2,Terasa,,B1 (15 - 25 kWh/m²a),Podravska, Rače, Fram
150,490000,369,,1990,Enonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,0,,4,"Balkon, Zaprt balkon, Terasa","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",,Podravska, Majšperk, Podlože
151,85000,150,,0,,,Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Žužemberk, Lopata
152,77000,120,,0,,,Samostojna,0,0,Popolnoma opremljeno,,Terasa,Vrt/dvorišče,EI v izdelavi,Pomurska, Lendava, Lendava
153,287000,0,5,1937,,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje",G (210+ kWh/m²a),Podravska, Maribor, Malečnik
154,369000,200,6,2001,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2021,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",EI v izdelavi,Pomurska, Gornja Radgona, Spodnji Ivanjci
155,149800,0,7,1978,Večnadstropna,,Samostojna,0,0,,4,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Savinjska, Šentjur, Šentjur
156,68000,95,3,1960,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,,,"Vrt/dvorišče, Vrtna uta",,Posavska, Krško, Reštanj
157,65000,90,4,1970,,"Zidana hiša (beton, opeka)",Samostojna,300,1990,Delno opremljeno,,,,,Posavska, Brežice, Krška vas
158,185000,150,5,1900,Dvonadstropna,Kamnita hiša,Dvostanovanjska,450,1990,Potrebno obnove,7+,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",EI ni potrebna (334. člen EZ-1),Obalno-kraška, Divača, Divača
159,100000,120,2,2007,Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,0,2018,Popolnoma opremljeno,5,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",EI v izdelavi,Podravska, Videm pri Ptuju, Ljubstava
160,155000,215,3,1993,Večnadstropna,,Dvojček,448,2021,Popolnoma opremljeno,,"Terasa, Atrij","Vrt/dvorišče, Vrtna uta",E (105 - 150 kWh/m²a),Pomurska, Lendava, Lendava
161,405000,220,,2021,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Rače, Podova
162,78000,0,,1800,,,,0,0,,,,,,Podravska, Maribor okolica, Grušova
163,69000,40,2,2000,Enonadstropna,"Zidana hiša (beton, opeka)",Ostalo,302,0,,2,Terasa,Vrt/dvorišče,,Savinjska, Šentjur, Pletovarje
164,110000,170,8,1977,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2017,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,,Podravska, Ormož, Senešci
165,198000,170,,1977,,,Kmetija,0,2017,,,,,,Podravska, Ormož, Velika Nedelja
167,53000,80,,1731,,"Zidana hiša (beton, opeka)",Samostojna,0,1985,,,,,,Jugovzhodna Slovenija, Šentrupert, Šentrupert
168,175000,230,10+,1982,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2022,,,Terasa,Vrt/dvorišče,,Pomurska, Beltinci, Dokležovje
170,142000,75,3,1991,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,965,2000,,5,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Posavska, Brežice, Kapele
171,74000,95,3,1972,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2017,Delno opremljeno,6,Terasa,Vrt/dvorišče,E (105 - 150 kWh/m²a),Pomurska, Puconci, Moščanci
172,279990,193,4,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,265,0,Delno opremljeno,,"Terasa, Loža, Atrij",Vrt/dvorišče,A2 (10 - 15 kWh/m²a),Podravska, Maribor, Tezno
173,420000,0,5,2008,Dvonadstropna,,Samostojna,0,0,,4,,Vrt/dvorišče,C (35 - 60 kWh/m²a),Obalno-kraška, Koper, Sv. Anton
174,75000,104,2,1983,,"Zidana hiša (beton, opeka)",Samostojna,372,0,Delno opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Kungota, Gradiška
175,98000,0,,1967,,,Samostojna,700,0,,,,,,Podravska, Ptuj, Ptuj
177,118000,205,,1950,,,Samostojna,0,2002,,brez pripadajočega parkirišča,,,EI v izdelavi,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
178,118000,205,,1950,,,Kmetija,0,2002,,brez pripadajočega parkirišča,,,EI v izdelavi,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
179,310000,0,5,1892,,,Samostojna,0,0,,,,,D (60 - 105 kWh/m²a),Osrednjeslovenska, Medvode, Medvode
180,380000,0,5,2007,,,Dvojček,0,0,,2,,Vrt/dvorišče,,Obalno-kraška, Koper, Koper
182,290000,230,6,2010,,,Samostojna,801,2021,Delno opremljeno,brez pripadajočega parkirišča,Terasa,,,Podravska, Maribor okolica, Počehova
183,280000,142,4,2020,,"Zidana hiša (beton, opeka)",Dvojček,362,0,,,,,,Podravska, Rače, Požeg
184,69990,350,10+,1920,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,"Vrt/dvorišče, Lopa za shranjevanje",Ni možno izdati,Podravska, Maribor, Za Kalvarijo
187,40000,35,1,1996,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2004,Delno opremljeno,,"Terasa, Atrij",Vrt/dvorišče,F (150 - 210 kWh/m²a),Pomurska, Ljutomer, Drakovci
188,190000,82,,1980,Dvonadstropna,"Zidana hiša (beton, opeka)",Vrstna,82,2021,Popolnoma opremljeno,,,Vrt/dvorišče,,Obalno-kraška, Izola, Korte
189,139900,130,4,1974,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,410,0,Neopremljeno,,"Balkon, Terasa","Vrt/dvorišče, Zimski vrt",F (150 - 210 kWh/m²a),Savinjska, Polzela, Polzela
190,170000,200,,1938,,,,0,2003,,,,,,Podravska, Miklavž na Dravskem polju, Dobrovce
191,168000,0,5,1975,,,Samostojna,0,0,,,,Vrt/dvorišče,,Podravska, Hoče, Hotinja vas
192,150000,80,3,0,Pritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2010,Popolnoma opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Jugovzhodna Slovenija, Ribnica, Ortnek
193,315000,340,,2022,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,612,0,Popolnoma opremljeno,,,Vrt/dvorišče,,Goriška, Idrija, Črni Vrh nad Idrijo
194,164500,160,3,1990,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,725,0,,,,,,Savinjska, Polzela, Ločica ob Savinji
195,160000,146,5,2005,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,3,,,,Podravska, Maribor okolica, Ruperče
197,185000,212,,1972,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,brez pripadajočega parkirišča,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
198,450000,108,,1968,,"Zidana hiša (beton, opeka)",Dvojček,237,1999,,,,,,Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most
199,194000,65,,1970,Enonadstropna,,Vrstna,129,0,,,,,E (105 - 150 kWh/m²a),Osrednjeslovenska, Ljubljana Moste Polje, Zalog
200,149000,800,,1989,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,,Balkon,Vrt/dvorišče,,Savinjska, Šmarje pri Jelšah, Šmarje pri Jelšah
201,166500,180,1,1998,Dvonadstropna,,Samostojna,303,2015,,,Balkon,,,Podravska, Slovenska Bistrica, Pragersko
202,69000,48,,2006,,,,0,0,,,,,,Podravska, Poljčane, Poljčane
203,189000,179,,1967,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,0,,,,,G (210+ kWh/m²a),Savinjska, Žalec, Migojnice
204,250000,111,5,2022,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,360,0,Neopremljeno,2,"Terasa, Atrij",Vrt/dvorišče,Ni možno izdati,Podravska, Rače, Podova
205,125000,70,2,1988,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,495,2020,Popolnoma opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",,Savinjska, Celje, Slatina v Rožni Dolini
206,290000,317,,2006,,,Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Sodražica, Sodražica
207,455000,89,,1927,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,517,0,,,,,,Osrednjeslovenska, Ljubljana Vič Rudnik, Brdo
208,345000,187,4,1959,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,0,2021,,3,"Balkon, Terasa, Loža",Vrt/dvorišče,E (105 - 150 kWh/m²a),Gorenjska, Kranj, Primskovo
209,88000,60,2,1980,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,800,2021,Delno opremljeno,,"Balkon, Terasa",,Merjena EI,Savinjska, Rogaška Slatina, Tržišče
210,117700,0,5,1972,Dvonadstropna,,Samostojna,0,0,,3,,Vrt/dvorišče,,Obalno-kraška, Sežana, Griže
211,270000,0,3,1990,,,Samostojna,0,0,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Osrednjeslovenska, Ivančna Gorica, Višnja Gora
213,199000,256,6,2005,Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,700,2017,,,"Balkon, Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",,Podravska, Hajdina, Slovenja vas
214,38000,30,1,1990,,,Samostojna,0,0,,,Balkon,,EI ni potrebna (334. člen EZ-1),Savinjska, Šentjur, Dramlje
216,360000,280,,2000,,"Zidana hiša (beton, opeka)",,0,2010,Popolnoma opremljeno,,"Balkon, Terasa",,,Savinjska, Šentjur, Proseniško
217,334000,130,6,1939,,,Samostojna,0,0,,,,,,Osrednjeslovenska, Medvode, Medvode
218,280000,168,,1963,,"Zidana hiša (beton, opeka)",Dvojček,462,2005,,,,,,Savinjska, Celje, Celje
219,320000,114,4,1998,,,Dvojček,376,0,,brez pripadajočega parkirišča,,,EI v izdelavi,Osrednjeslovenska, Dol pri Ljubljani, Dolsko
220,189900,138,,2020,,,Dvojček,398,0,,2,"Balkon, Atrij",,,Podravska, Kungota, Zgornja Kungota
221,320000,133,5,2022,,,Samostojna,500,0,,brez pripadajočega parkirišča,Atrij,Vrt/dvorišče,,Podravska, Maribor okolica, Razvanje
222,219000,120,,0,,"Zidana hiša (beton, opeka)",Atrijska,657,0,Neopremljeno,brez pripadajočega parkirišča,"Terasa, Atrij",Vrt/dvorišče,,Podravska, Lenart v Slovenskih goricah, Voličina
223,169900,80,,2003,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,,Terasa,Vrt/dvorišče,B1 (15 - 25 kWh/m²a),Podravska, Makole, Stari Grad
225,85000,180,4,1980,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,860,2010,,,,,,Podravska, Slovenska Bistrica, Slovenska Bistrica
226,160000,0,,1985,,,,0,0,,,,,,Savinjska, Vitanje, Stenica
227,299000,340,7,1992,,,Samostojna,0,0,,7+,Terasa,Vrt/dvorišče,E (105 - 150 kWh/m²a),Pomurska, Murska Sobota, Markišavci
228,239500,217,5,1972,,,Samostojna,499,0,Popolnoma opremljeno,brez pripadajočega parkirišča,"Balkon, Terasa",Vrt/dvorišče,,Podravska, Maribor, Melje
229,230000,189,10+,1980,,,Ostalo,797,0,,,,,F (150 - 210 kWh/m²a),Goriška, Renče, Vogrsko
230,379000,165,,2003,,,Samostojna,0,0,Popolnoma opremljeno,brez pripadajočega parkirišča,"Zaprt balkon, Terasa",Vrt/dvorišče,C (35 - 60 kWh/m²a),Posavska, Krško, Sremič
234,445000,145,4,1840,,,Samostojna,0,1995,,,,,E (105 - 150 kWh/m²a),Osrednjeslovenska, Ljubljana Center, Center
235,239900,177,4,1997,Dvonadstropna,,Samostojna,0,2010,Popolnoma opremljeno,,"Balkon, Zaprt balkon","Vrt/dvorišče, Lopa za shranjevanje",E (105 - 150 kWh/m²a),Savinjska, Žalec, Grče
238,107550,0,,1960,,,Ostalo,0,0,,,,,,Podravska, Hoče, Hočko Pohorje
239,160000,184,10+,1980,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvostanovanjska,0,2013,Delno opremljeno,4,Terasa,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Trnovska vas, Trnovska vas
241,61990,0,,1984,,,,0,0,,,,,,Pomurska, Ljutomer, Ljutomer
242,370000,180,6,1990,Enonadstropna,,Samostojna,600,2020,Popolnoma opremljeno,2,"Balkon, Zaprt balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta",,Podravska, Maribor, Ostalo
243,90000,0,8,1978,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Delno opremljeno,,Balkon,Vrt/dvorišče,,Pomurska, Črenšovci, Trnje
244,144900,256,,1993,,,,355,2019,,,,,,Podravska, Kidričevo, Lovrenc na Dravskem polju
245,194000,120,,2022,,,,375,0,,,,,,Savinjska, Vojnik, Vojnik
246,115000,210,10+,1984,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,600,2000,Potrebno obnove,,"Balkon, Terasa, Atrij","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje, Vrtna uta",,Osrednjeslovenska, Litija, Vače
247,74000,0,,1974,,,,0,0,,,,,,Savinjska, Laško, Mala Breza
248,99000,100,,2012,,,,0,2022,,,"Balkon, Terasa",Vrt/dvorišče,,Pomurska, Lendava, Dolina pri Lendavi
250,335000,206,,1950,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Kidričevo, Lovrenc na Dravskem polju
