,Price,SurfaceArea,TotalRooms,YearBuilt,TotalFloors,HouseMaterial,HouseType,LandArea,YearRenovated,Furniture,ParkingSpots,BalconyTerraceAtrium,OutdoorFurniture,EnergyClass,Region,District,Neighborhood
1111,149900,110,4,2021,Enonadstropna,,Dvojček,340,0,,,,,Ni možno izdati,Savinjska, Prebold, Sv. Lovrenc
1113,163800,116,5,1985,Dvonadstropna,,Samostojna,911,2007,Delno opremljeno,,Balkon,,,Osrednjeslovenska, Velike Lašče, Srobotnik pri Vel. Laščah
1114,175000,133,4,2021,,,Vrstna,174,0,,2,"Atrij, Terasa",Vrt/dvorišče,,Obalno-kraška, Divača, Divača
1115,450000,343,4,2007,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,Balkon,"Vrt/dvorišče, Vrtna uta",,Podravska, Ptuj, Ptuj
1116,385000,300,7,1987,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,786,2009,Popolnoma opremljeno,,Balkon,Vrt/dvorišče,D (60 - 105 kWh/m²a),Osrednjeslovenska, Polhov Gradec, Dvor pri Polhovem Gradcu
1117,159000,203,,1850,,"Zidana hiša (beton, opeka)",Samostojna,362,1960,,brez pripadajočega parkirišča,,,,Obalno-kraška, Koper, Osp
1119,270000,0,4,1976,,,Samostojna,0,0,,4,,Vrt/dvorišče,,Savinjska, Žalec, Šempeter v Savinjski dolini
1121,180000,0,6,1990,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Rogaška Slatina, Rogaška Slatina
1125,285000,271,4,2008,Pritlična,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,402,0,,,,,,Podravska, Maribor, Radvanje
1126,380000,190,3,2006,Enonadstropna,,Stanovanjsko-poslovna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Podravska, Markovci, Markovci
1127,139990,163,5,2020,,"Zidana hiša (beton, opeka)",Samostojna,272,0,,,Terasa,,C (35 - 60 kWh/m²a),Podravska, Slovenska Bistrica, Šmartno na Pohorju
1128,360000,0,6,2000,,,Samostojna,0,0,,,,Vrt/dvorišče,D (60 - 105 kWh/m²a),Goriška, Ajdovščina, Črniče
1129,367000,0,8,1980,Dvonadstropna,,Samostojna,0,0,,4,,,F (150 - 210 kWh/m²a),Gorenjska, Tržič, Tržič
1132,45000,0,,2013,,,Samostojna,0,0,,,,,,Posavska, Krško, Krško
1134,230000,0,6,1830,,Lesena hiša,Samostojna,0,0,,,,,,Jugovzhodna Slovenija, Novo mesto, Novo mesto
1135,110000,0,6,1960,,,Samostojna,0,0,,,,Vrt/dvorišče,,Posavska, Krško, Krško
1136,230000,0,6,1830,,Lesena hiša,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje",,Jugovzhodna Slovenija, Novo mesto, Novo mesto
1137,185000,0,5,1996,,,Samostojna,0,0,,,,,Ni možno izdati,Obalno-kraška, Divača, Senožeče
1138,98000,0,1,1945,,,Samostojna,0,0,,,,Vrt/dvorišče,,Obalno-kraška, Komen, Komen
1139,170000,0,5,1900,Enonadstropna,,,0,0,,,,,,Obalno-kraška, Sežana, Sežana
1140,170000,0,,1750,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Obalno-kraška, Komen, Komen
1142,370000,0,7,1985,,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje",,Pomurska, Lendava, Lendava
1143,50000,0,3,1948,,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje",,Jugovzhodna Slovenija, Črnomelj, Vinica
1144,119000,0,5,1650,,,Samostojna,0,0,,,,,,Savinjska, Rogatec, Rogatec
1145,47900,0,4,1959,,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Rogatec, Rogatec
1146,350000,0,4,1986,Večnadstropna,,Samostojna,0,0,,5,,,,Koroška, Slovenj Gradec, Slovenj Gradec
1147,330000,0,3,1975,,,Samostojna,0,0,,6,,Vrt/dvorišče,,Podravska, Miklavž na Dravskem polju, Miklavž na Dravskem polju
1150,169700,0,4,2003,Dvonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,,Savinjska, Laško, Laško
1152,95000,0,5,1976,,,Samostojna,0,0,,,,Vrt/dvorišče,E (105 - 150 kWh/m²a),Goriška, Tolmin, Tolmin
1153,69000,0,5,1899,Večnadstropna,,Samostojna,0,0,,,,,,Goriška, Tolmin, Tolmin
1154,95000,0,8,1980,Enonadstropna,,Samostojna,0,0,,,,Vrt/dvorišče,EI ni potrebna (334. člen EZ-1),Podravska, Dornava, Dornava
1155,89000,0,5,1975,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Pomurska, Radenci, Radenci
1156,76000,0,,2015,,,Samostojna,0,0,,,,,,Podravska, Ormož, Ormož
1157,285000,0,6,1973,,,Samostojna,0,0,,,,Vrt/dvorišče,F (150 - 210 kWh/m²a),Podravska, Ptuj, Ptuj
1158,80000,0,2,1905,,,Samostojna,0,0,,,,,,Podravska, Ptuj, Ptuj
1159,230000,0,5,1985,,,Samostojna,0,0,,,,"Vrtna uta, Lopa za shranjevanje",G (210+ kWh/m²a),Podravska, Ormož, Velika Nedelja
1160,495000,0,6,2007,,,Samostojna,0,0,,,,,,Podravska, Gorišnica, Gorišnica
1161,85000,0,5,1965,,,Samostojna,0,0,,,,,,Podravska, Podlehnik, Podlehnik
1163,110000,0,7,1747,,,Samostojna,0,0,,,,,,Podravska, Ormož, Ivanjkovci
1164,169000,0,5,1840,Dvonadstropna,,Samostojna,0,0,,,,,,Obalno-kraška, Koper, Movraž
1165,87000,0,3,1977,,,Samostojna,0,0,,,,Vrt/dvorišče,,Obalno-kraška, Divača, Senožeče
1168,360000,180,,1990,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Ruše, Log
1169,89997,55,4,1932,Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,Potrebno obnove,2,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",G (210+ kWh/m²a),Koroška, Slovenj Gradec, Slovenj Gradec
1170,275000,339,8,1903,,"Zidana hiša (beton, opeka)",Ostalo,718,0,,,,,,Podravska, Maribor, Center
1172,205000,138,4,2022,,"Zidana hiša (beton, opeka)",Samostojna,669,0,,2,,,,Podravska, Sveti Jurij v Slovenskih goricah, Jurovski Dol
1173,195000,250,,1963,,"Zidana hiša (beton, opeka)",Samostojna,0,2016,Popolnoma opremljeno,1,,,,Pomurska, Dobrovnik, Žitkovci
1175,200000,157,,1890,,"Zidana hiša (beton, opeka)",,0,0,,,,,,Podravska, Pesnica pri Mariboru, Dragučova
1176,109999,83,,2015,,"Zidana hiša (beton, opeka)",Dvojček,626,0,Popolnoma opremljeno,2,,"Vrt/dvorišče, Zimski vrt",,Pomurska, Ljutomer, Mala Nedelja
1177,75000,223,4,2014,,"Zidana hiša (beton, opeka)",Samostojna,615,0,Neopremljeno,brez pripadajočega parkirišča,,,,Pomurska, Sv. Jurij ob Ščavnici, Slaptinci
1179,430000,236,3,2012,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,Terasa,,,Podravska, Dornava, Dornava
1180,349000,101,5,1850,,"Zidana hiša (beton, opeka)",,176,2020,Delno opremljeno,brez pripadajočega parkirišča,,,,Obalno-kraška, Koper, Koper
1181,345000,124,5,2009,,,Dvojček,193,0,Popolnoma opremljeno,4,Terasa,Vrt/dvorišče,,Osrednjeslovenska, Brezovica pri Ljubljani, Notranje Gorice
1182,79000,120,,1993,,"Zidana hiša (beton, opeka)",,49,0,,,,,,Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah
1183,155000,117,4,2020,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,272,0,Neopremljeno,,"Balkon, Terasa",,C (35 - 60 kWh/m²a),Podravska, Slovenska Bistrica, Šmartno na Pohorju
1184,175000,117,4,2020,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,527,0,Neopremljeno,,"Balkon, Terasa",,C (35 - 60 kWh/m²a),Podravska, Slovenska Bistrica, Šmartno na Pohorju
1185,280000,142,4,2006,,,Samostojna,280,0,,3,,,,Obalno-kraška, Sežana, Križ
1186,130000,190,,1670,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,1,,,,Savinjska, Slovenske Konjice, Slovenske Konjice
1187,38000,29,,1985,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Majšperk, Spodnja Sveča
1188,189000,189,,1901,,,Samostojna,0,0,,,,,EI ni potrebna (334. člen EZ-1),Gorenjska, Škofja Loka, Škofja Loka
1189,190000,889,,0,,,Samostojna,0,2000,,brez pripadajočega parkirišča,,,,Jugovzhodna Slovenija, Šentjernej, Šentjernej
1191,150000,377,,2012,,,Samostojna,0,0,,,,,,Savinjska, Šmarje pri Jelšah, Ješovec pri Šmarju
1192,350000,0,,1900,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,1998,,,"Balkon, Atrij","Vrt/dvorišče, Vrtna uta",EI v izdelavi,Osrednjeslovenska, Škofljica, Lanišče
1194,43800,95,,1900,,"Zidana hiša (beton, opeka)",Samostojna,0,0,,,,,,Podravska, Destrnik, Dolič
1195,145000,0,8,1950,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2005,Delno opremljeno,4,Terasa,"Zimski vrt, Lopa za shranjevanje",D (60 - 105 kWh/m²a),Podravska, Slovenska Bistrica, Slovenska Bistrica
1196,390000,232,5,1786,,,Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,,Vrt/dvorišče,,Gorenjska, Žirovnica, Žirovnica
1198,289000,510,,1950,,,Stanovanjsko-poslovna,979,1999,,,,,E (105 - 150 kWh/m²a),Savinjska, Zreče, Zreče
1200,430000,306,10+,2008,,,Ostalo,379,0,,,,,C (35 - 60 kWh/m²a),Goriška, Kobarid, Kobarid
1201,55000,140,10+,1890,,,Ostalo,265,0,,,,,G (210+ kWh/m²a),Goriška, Tolmin, Podbrdo
1204,38000,84,10+,1900,,,Ostalo,342,0,,,,,G (210+ kWh/m²a),Goriška, Vipava, Lozice
1205,90000,547,10+,1935,,,Ostalo,1,0,,,,,G (210+ kWh/m²a),Goriška, Nova Gorica, Grgarske Ravne
1207,120000,302,10+,1920,,,Ostalo,500,0,,,,,G (210+ kWh/m²a),Goriška, Miren, Vrtoče
1208,105000,297,10+,1930,,,Ostalo,0,0,,,,,G (210+ kWh/m²a),Goriška, Kanal ob Soči, Kanal ob Soči
1209,170000,111,10+,1920,,,Ostalo,0,0,,,,,G (210+ kWh/m²a),Goriška, Šempeter pri Gorici, Vrtojba
1210,110000,222,10+,2010,,,Ostalo,0,0,,,,,G (210+ kWh/m²a),Goriška, Nova Gorica, Čepovan
1211,60000,75,10+,1982,,,Ostalo,836,0,,,,,G (210+ kWh/m²a),Goriška, Nova Gorica, Trnovo pri Gorici
1212,350000,244,,0,Enonadstropna,,Samostojna,0,2006,,,Balkon,,G (210+ kWh/m²a),Podravska, Rače, Rače
1214,43000,235,5,1990,,"Zidana hiša (beton, opeka)",Samostojna,915,0,Neopremljeno,2,,Vrt/dvorišče,,Pomurska, Ljutomer, Noršinci pri Ljutomeru
1216,60000,55,,1992,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Popolnoma opremljeno,1,,,,Savinjska, Rogaška Slatina, Prnek
1217,99000,161,,1963,,"Zidana hiša (beton, opeka)",Samostojna,0,0,Neopremljeno,brez pripadajočega parkirišča,,,,Savinjska, Šentjur, Planina pri Sevnici
1218,150000,300,5,1727,,"Zidana hiša (beton, opeka)",Samostojna,151,2014,Delno opremljeno,brez pripadajočega parkirišča,,,,Savinjska, Braslovče, Braslovče
1219,110000,220,,1964,,"Zidana hiša (beton, opeka)",Samostojna,662,1997,,brez pripadajočega parkirišča,,,,Savinjska, Rogaška Slatina, Cerovec pod Bočem
1221,480000,370,6,1992,Dvonadstropna,"Zidana hiša (beton, opeka)",Dvojček,0,0,,,,,EI v izdelavi,Savinjska, Prebold, Šešče pri Preboldu
1222,290000,194,5,2013,Dvonadstropna,,Samostojna,0,0,,,Terasa,,,Savinjska, Šentjur, Šentjur
1223,399990,660,8,1976,Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,0,2000,,,"Balkon, Zaprt balkon, Terasa",,,Podravska, Markovci, Markovci
1225,148000,87,1,1977,Visokopritlična,,Samostojna,0,2015,,,,,,Osrednjeslovenska, Polhov Gradec, Polhov Gradec
1226,125000,130,1,1989,Enonadstropna,,Samostojna,0,1997,,,Balkon,,,Posavska, Krško, Krško
1227,400000,339,4,1929,Večnadstropna,"Zidana hiša (beton, opeka)",Samostojna,0,2007,,,Terasa,,C (35 - 60 kWh/m²a),Savinjska, Celje, Center
1228,55000,136,1,1960,Pritlična,,Samostojna,0,2010,Neopremljeno,,Terasa,Vrt/dvorišče,G (210+ kWh/m²a),Pomurska, Sv. Jurij ob Ščavnici, Stara Gora
1229,80000,160,1,0,Pritlična,"Zidana hiša (beton, opeka)",Dvojček,161,1993,Potrebno obnove,,"Balkon, Terasa",,EI ni potrebna (334. člen EZ-1),Pomurska, Ljutomer, Ljutomer
1230,141000,104,1,1995,Visokopritlična,,Samostojna,0,0,,,,,F (150 - 210 kWh/m²a),Primorsko-notranjska, Cerknica, Osredek
1231,135000,113,1,1951,Enonadstropna,,Vrstna,236,1995,,,,,,Savinjska, Laško, Laško
1233,250000,320,1,1978,Pritlična,,Samostojna,600,0,,,"Balkon, Terasa",,,Podravska, Slovenska Bistrica, Spodnja Ložnica
1234,175000,236,,1967,,,Samostojna,595,2002,,,Balkon,,,Savinjska, Slovenske Konjice, Slovenske Konjice
