,Cena,Približno,Neto cena,DDV,Bivalna površina,Vrsta stanovanja,Leto izgradnje,Vrsta ponudbe,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Leto zadnje prenove,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Opremljenost in stanje,Število parkirnih mest,Možnost menjave,Neto površina,Energetski razred,Interna številka oglasa,type,Število sob,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Površina parcele
1787,680.000 €,,,,,,2010.0,Prodam,"Osrednjeslovenska, Ig, Ig",,,,,,Vrt/dvorišče,Skupna cena,20.05.2022. ob 00:14,do prodaje,484 -krat,https://www.bolha.com/nepremicnine/hisa-z-razgledom-v-zapotoku-21-km-ljubljane-oglas-9447932,9447932,,,,,C (35 - 60 kWh/m²a),490391008-493,house,8,,,Samostojna,
1788,170.000 €,,,,,,1904.0,Prodam,"Goriška, Idrija, Idrija",,,,,,Vrt/dvorišče,Skupna cena,20.05.2022. ob 00:14,do prodaje,518 -krat,https://www.bolha.com/nepremicnine/dvostanovanjska-hisa-oglas-9447927,9447927,,2,,,C (35 - 60 kWh/m²a),490391006-78,house,4,Večnadstropna,,Samostojna,
1789,360.000 €,,,,,,2007.0,Prodam,"Primorsko-notranjska, Cerknica, Cerknica",,,,,,Vrt/dvorišče,Skupna cena,20.05.2022. ob 00:14,do prodaje,824 -krat,https://www.bolha.com/nepremicnine/dvostanovanjska-tlorisno-razgibana-hisa-oglas-9447916,9447916,,,,,D (60 - 105 kWh/m²a),490391005-41,house,7,,,Samostojna,
1790,970.700 €,,,,,,1997.0,Prodam,"Goriška, Šempeter pri Gorici, Šempeter pri Gorici",,,,,,Vrt/dvorišče,Skupna cena,20.05.2022. ob 00:14,do prodaje,882 -krat,https://www.bolha.com/nepremicnine/samostojna-hisa-367.0-m2-v-3-etazah-sempeter-pri-gorici-oglas-9447907,9447907,,5,,,D (60 - 105 kWh/m²a),490391002-50,house,10+,,Kamnita hiša,,
1791,485.000 €,,,,,,1860.0,Prodam,"Osrednjeslovenska, Ivančna Gorica, Ivančna Gorica",,,,,,"Vrtna uta, Lopa za shranjevanje, Vrt/dvorišče",Skupna cena,20.05.2022. ob 00:14,do prodaje,448 -krat,https://www.bolha.com/nepremicnine/videm-pri-temenici-prodamo-posest-oglas-9447901,9447901,,,,,EI ni potrebna (334. člen EZ-1),490391002-22,house,5,Dvonadstropna,,Samostojna,
1792,490.000 €,,,,,,1975.0,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Dobrunje",,,,,,Vrt/dvorišče,Skupna cena,20.05.2022. ob 00:14,do prodaje,466 -krat,https://www.bolha.com/nepremicnine/samostojna-hisa-primerna-investitorje-oglas-9447898,9447898,,,,,F (150 - 210 kWh/m²a),490391001-45,house,6,,,Samostojna,
1793,1.037.000 €,,,,,,2014.0,Prodam,"Osrednjeslovenska, Logatec, Logatec",,,,,,,Skupna cena,20.05.2022. ob 00:14,do prodaje,622 -krat,https://www.bolha.com/nepremicnine/prodaja-nadstandardna-vila-logatec-476.8m2-oglas-9447897,9447897,,,,,C (35 - 60 kWh/m²a),490391001-24,house,10+,,,,
1794,450.000 €,,,,,,1962.0,Prodam,"Goriška, Nova Gorica, Rožna Dolina",,,,,,,Skupna cena,20.05.2022. ob 00:14,do prodaje,364 -krat,https://www.bolha.com/nepremicnine/hisa-odlicna-lokacija-rozna-dolina-oglas-9447893,9447893,,,,,,490391001-31,house,6,,,Samostojna,
1795,650.000 €,,,,,,2012.0,Prodam,"Osrednjeslovenska, Ivančna Gorica, Ivančna Gorica",,,,,,,Skupna cena,20.05.2022. ob 00:12,do prodaje,477 -krat,https://www.bolha.com/nepremicnine/samostojna-hisa-mekinje-nad-sticno-oglas-9447887,9447887,,,,,B2 (25 - 35 kWh/m²a),490191054-155,house,7,,,Samostojna,
1796,342.000 €,,,,,,1990.0,Prodam,"Podravska, Maribor, Pobrežje",,,,,"Terasa, Atrij",Vrt/dvorišče,Skupna cena,19.05.2022. ob 13:10,do prodaje,8965 -krat,https://www.bolha.com/nepremicnine/cudovita-samostojna-hisa-pobrezju-oglas-9446026,9446026,Delno opremljeno,,,"331,00 m²",C (35 - 60 kWh/m²a),GALEA 2022/142,house,,Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"919,00 m²"
