,Cena,Približno,Neto cena,DDV,Bivalna površina,Število sob,Leto izgradnje,Vrsta ponudbe,Lokacija,Število nadstropij,Vrsta hiše (gradnja),Vrsta hiše,Neto površina,Površina parcele,Leto zadnje prenove,Opremljenost in stanje,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Vrsta cene,Oglas je objavljen,Do poteka še,Oglas je prikazan,Link,Šifra oglasa,Možnost menjave,Interna številka oglasa,Energetski razred
252,69.800 €,,,,"130,00 m²",1,1980,Prodam,"Savinjska, Šmarje pri Jelšah, Grliče",Pritlična,,Samostojna,,"1.840,00 m²",,,,"Balkon, Zaprt balkon, Terasa",,Skupna cena,27.08.2022. ob 10:43,Št. dni: 11 in 1 h,6416 -krat,https://www.bolha.com/nepremicnine/hisa-savinjska-smarje-pri-jelsah-samostojna-130-m2-prodam-oglas-1431805,1431805,,,EI v izdelavi
253,620.000 €,,,,,7,2002,Prodam,"Savinjska, Prebold, Prebold",Dvonadstropna,,Samostojna,,,,,4,,"Bazen, Vrt/dvorišče",Skupna cena,27.08.2022. ob 00:15,do prodaje,628 -krat,https://www.bolha.com/nepremicnine/atraktivna-vila-oglas-9871555,9871555,,490281029-74,C (35 - 60 kWh/m²a)
254,26.000 €,,,,"40,00 m²",1,1960,Prodam,"Jugovzhodna Slovenija, Novo mesto, Uršna sela",Pritlična,,Samostojna,,"1.800,00 m²",1990,,,,,Skupna cena,26.08.2022. ob 20:27,Št. dni: 10 in 10 h,9335 -krat,https://www.bolha.com/nepremicnine/hisa-jugovzhodna-slovenija-ursna-sela-samostojna-40-m2-prodam-oglas-1430641,1430641,,,
255,360.000 €,,,,"305,00 m²",,1980,Prodam,"Podravska, Ptuj, Ptuj",Pritlična,,Ostalo,,,2005,,,,,Skupna cena,26.08.2022. ob 20:22,do prodaje,159 -krat,https://www.bolha.com/nepremicnine/pritlicni-poslovni-center-v-trgovskem-centru-center-ptuja-oglas-9871124,9871124,,,
256,370.000 €,,,,"155,00 m²",5,2008,Prodam,"Obalno-kraška, Kozina, Hrpelje",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"200,00 m²","365,00 m²",2008,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,26.08.2022. ob 19:17,Št. dni: 10 in 9 h,2856 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-hrpelje-enonadstropna-155.00-m2-oglas-6764059,6764059,Možna menjava za drugo nepremičnino,,EI v izdelavi
257,62.000 €,,,,"72,00 m²",,1980,Prodam,"Pomurska, Murska Sobota, Bakovci",,,Samostojna,,"960,00 m²",,,,,,Skupna cena,26.08.2022. ob 18:34,do prodaje,716 -krat,https://www.bolha.com/nepremicnine/prodamo-hiso-v-okolici-murske-sobote-bakovci-72.00-m2-oglas-9870844,9870844,,88,D (60 - 105 kWh/m²a)
258,30.000 €,,,,"70,00 m²",3,1900,Prodam,"Posavska, Krško, Reštanj",Pritlična,Kamnita hiša,Dvojček,,"1.000,00 m²",1990,Popolnoma opremljeno,,Balkon,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,26.08.2022. ob 17:37,Št. dni: 10 in 8 h,3091 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-restanj-70.00-m2-oglas-9088046,9088046,Menjava za drugo nepremičnino ni možna,,Ni možno izdati
259,155.000 €,,,,"137,00 m²",3,2022,Prodam,"Podravska, Hajdina, Hajdina",Visokopritlična,"Zidana hiša (beton, opeka)",Vrstna,"149,00 m²","267,00 m²",,,,Terasa,Vrt/dvorišče,Skupna cena,26.08.2022. ob 17:26,do prodaje,5292 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-okolica-hajdina-vmesna-enota-oglas-9096286,9096286,,1400,Ni možno izdati
260,279.000 €,,,,"149,00 m²",3,2008,Prodam,"Podravska, Ptuj, Ptuj",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"211,00 m²","909,00 m²",,,,,,Skupna cena,26.08.2022. ob 17:25,do prodaje,2060 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-149.00-m2-oglas-9545582,9545582,Menjava za drugo nepremičnino ni možna,1411,
261,50.000 €,,,,"102,00 m²",3,1980,Prodam,"Podravska, Ormož, Trstenik",Pritlična,"Zidana hiša (beton, opeka)",Samostojna,"102,00 m²","434,00 m²",2010,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Vrtna uta",Skupna cena,26.08.2022. ob 17:05,Št. dni: 10 in 7 h,6420 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-trstenik-102.00-m2-oglas-8719253,8719253,Menjava za drugo nepremičnino ni možna,,
262,195.000 €,,,,"121,00 m²",4,2023,Prodam,"Podravska, Duplek, Spodnji Duplek",,"Zidana hiša (beton, opeka)",Dvojček,"121,00 m²","513,00 m²",,,,,,Skupna cena,26.08.2022. ob 15:14,do prodaje,390 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-duplek-spodnji-duplek-oglas-9869657,9869657,,PH4647797DS-1,
263,205.000 €,,,,"121,00 m²",4,2023,Prodam,"Podravska, Duplek, Spodnji Duplek",,"Zidana hiša (beton, opeka)",Dvojček,"121,00 m²","842,00 m²",,,,,,Skupna cena,26.08.2022. ob 15:14,do prodaje,211 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-dvojcek-podravska-duplek-spodnji-duplek-oglas-9869656,9869656,,PH4647797DS,
264,127.500 €,,,,"180,00 m²",5,1934,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",,"Zidana hiša (beton, opeka)",,"180,00 m²",,1995,,,,,Skupna cena,26.08.2022. ob 15:14,do prodaje,411 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-podravska-lenart-lenart-v-slov-goricah-oglas-9869652,9869652,,PH4647832MR,
265,295.000 €,,,,"143,00 m²",4,2006,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",,"Zidana hiša (beton, opeka)",,"143,00 m²","336,00 m²",2019,Neopremljeno,1,,,Skupna cena,26.08.2022. ob 15:14,do prodaje,368 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-vrstna-podravska-slovenska-bistrica-slovenska-bistrica-oglas-9869651,9869651,,PH22901266859290NM,
266,275.000 €,,,,"240,00 m²",,1984,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",,"Zidana hiša (beton, opeka)",Samostojna,"240,00 m²","600,00 m²",2017,,1,,,Skupna cena,26.08.2022. ob 15:11,do prodaje,465 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-slovenske-konjice-slovenske-konjic-oglas-9869636,9869636,,PH38622267PV,
267,207.000 €,,,,"179,00 m²",,1800,Prodam,"Savinjska, Rogaška Slatina, Rajnkovec",,"Zidana hiša (beton, opeka)",,"179,00 m²","46.816,00 m²",1980,,2,,,Skupna cena,26.08.2022. ob 15:11,do prodaje,183 -krat,https://www.bolha.com/nepremicnine/prodaja-drugi-objekti-kmetija-savinjska-rogaska-slatina-rajnkovec-oglas-9869630,9869630,,PD00882AN,
268,130.000 €,,,,"179,00 m²",,1800,Prodam,"Savinjska, Rogaška Slatina, Rajnkovec",,"Zidana hiša (beton, opeka)",Samostojna,"179,00 m²","2.181,00 m²",1980,,2,,,Skupna cena,26.08.2022. ob 15:11,do prodaje,214 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-savinjska-rogaska-slatina-rajnkovec-oglas-9869629,9869629,,PH00881AN,
269,Po dogovoru,,,,"150,00 m²",2,1970,Prodam,"Podravska, Selnica ob Dravi, Spodnji Boč",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"300,00 m²","900,00 m²",2010,Delno opremljeno,,"Balkon, Terasa","Vrt/dvorišče, Vrtna uta",Skupna cena,26.08.2022. ob 15:04,Št. dni: 20 in 7 h,7053 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-spodnji-boc-enonadstropna-150.00-m2-oglas-6904498,6904498,,,
270,347.900 €,,,,"140,90 m²",,2022,Prodam,"Podravska, Maribor, Limbuš",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"140,90 m²","247,00 m²",,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,26.08.2022. ob 13:09,do prodaje,251 -krat,https://www.bolha.com/nepremicnine/naselje-roznodolska-maribor-tip-c-podravska-maribor-oglas-9869010,9869010,,02148-211,
271,347.900 €,,,,"140,90 m²",,2022,Prodam,"Podravska, Maribor, Limbuš",Enonadstropna,"Zidana hiša (beton, opeka)",Vrstna,"140,90 m²","247,00 m²",,,2,Terasa,Lopa za shranjevanje,Skupna cena,26.08.2022. ob 12:56,do prodaje,129 -krat,https://www.bolha.com/nepremicnine/naselje-roznodolska-maribor-tip-c-podravska-maribor-oglas-9868918,9868918,,02315-,
272,329.900 €,,,,"124,50 m²",,2022,Prodam,"Podravska, Maribor, Limbuš",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"124,50 m²","294,00 m²",,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,26.08.2022. ob 12:47,do prodaje,89 -krat,https://www.bolha.com/nepremicnine/naselje-roznodolska-maribor-tip-b-podravska-maribor-oglas-9868870,9868870,,02351-,
273,329.900 €,,,,"124,50 m²",,2022,Prodam,"Podravska, Maribor, Limbuš",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,"124,50 m²","294,00 m²",,,2,Terasa,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,26.08.2022. ob 12:37,do prodaje,136 -krat,https://www.bolha.com/nepremicnine/naselje-roznodolska-maribor-tip-b-podravska-maribor-oglas-9868824,9868824,,02148-212,
274,215.000 €,,,,"180,00 m²",,,Prodam,"Jugovzhodna Slovenija, Šmarješke Toplice, Šmarješke Toplice",,,,,,,,,,,Skupna cena,26.08.2022. ob 12:03,do prodaje,2603 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-smarjeske-toplice-180.00-m2-oglas-8314335,8314335,,,
275,1.150.000 €,,,,"340,00 m²",,1906,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,,Samostojna,,"1.072,00 m²",,Potrebno obnove,,,,Skupna cena,26.08.2022. ob 12:03,do prodaje,6808 -krat,https://www.bolha.com/nepremicnine/ljubljana-center-vila-340.00-m2-oglas-4934719,4934719,,,EI v izdelavi
276,220.000 €,,,,"111,12 m²",5,2022,Prodam,"Podravska, Rače, Podova",Enonadstropna,"Zidana hiša (beton, opeka)",Dvojček,,"255,00 m²",,Neopremljeno,2,"Terasa, Atrij",Vrt/dvorišče,Skupna cena,26.08.2022. ob 11:32,do prodaje,373 -krat,https://www.bolha.com/nepremicnine/race-podova-lepa-lokacija-9-modernih-enostanovanjskih-his-prodamo-oglas-9868514,9868514,Menjava za drugo nepremičnino ni možna,230,Ni možno izdati
277,285.000 €,,,,"85,60 m²",2,2008,Prodam,"Osrednjeslovenska, Komenda, Klanec",Visokopritlična,"Zidana hiša (beton, opeka)",Dvostanovanjska,"85,60 m²","298,00 m²",,Delno opremljeno,2,"Terasa, Atrij",Vrt/dvorišče,Skupna cena,26.08.2022. ob 10:06,do prodaje,405 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-klanec-85.60-m2-oglas-9868162,9868162,,,EI v izdelavi
278,310.000 €,,,,"356,00 m²",7,1984,Prodam,"Podravska, Maribor, Bresternica",Dvonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"356,00 m²","833,00 m²",2020,Popolnoma opremljeno,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje, Žar, Bazen",Skupna cena,26.08.2022. ob 08:55,Št. dni: 9 in 23 h,6801 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-bresternica-dvonadstropna-278.00-m2-oglas-7034077,7034077,Možna menjava za drugo nepremičnino,,E (105 - 150 kWh/m²a)
279,285.000 €,,,,"260,00 m²",6,1998,Prodam,"Podravska, Maribor, Center",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"300,00 m²","625,00 m²",,Popolnoma opremljeno,,"Balkon, Terasa",Vrt/dvorišče,Skupna cena,25.08.2022. ob 23:24,do prodaje,395 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-center-260.00-m2-oglas-9866416,9866416,Možna menjava za drugo nepremičnino,,EI v izdelavi
280,222.000 €,,,,"350,00 m²",5,1998,Prodam,"Jugovzhodna Slovenija, Novo mesto, Dolenji Suhadol",Enonadstropna,"Zidana hiša (beton, opeka)",Stanovanjsko-poslovna,"216,00 m²","1.227,00 m²",2004,,3,"Balkon, Terasa","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,25.08.2022. ob 20:12,Št. dni: 9 in 10 h,542 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-dolenji-suhadol-350.00-m2-oglas-9734851,9734851,,,D (60 - 105 kWh/m²a)
281,114.990 €,,,,"59,60 m²",,1928,Prodam,"Podravska, Maribor, Pobrežje",,,Samostojna,"71,60 m²","372,00 m²",,,,,"Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,25.08.2022. ob 15:22,do prodaje,2452 -krat,https://www.bolha.com/nepremicnine/hiska-prenovo-oglas-9864804,9864804,,GALEA 2022/4106,
282,590.000 €,,,,"295,00 m²",,1984,Prodam,"Podravska, Kungota, Gradiška",,"Zidana hiša (beton, opeka)",Samostojna,"295,00 m²","2.837,00 m²",,,2,,,Skupna cena,25.08.2022. ob 15:13,do prodaje,391 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-kungota-gradiska-oglas-9864772,9864772,,PH4647774DS,
283,179.900 €,,,,"234,00 m²",5,1988,Prodam,"Podravska, Ptuj, Podvinci",Enonadstropna,"Zidana hiša (beton, opeka)",Samostojna,"263,00 m²","5.719,00 m²",2010,Delno opremljeno,,"Terasa, Loža","Vrt/dvorišče, Lopa za shranjevanje",Skupna cena,25.08.2022. ob 14:08,do prodaje,3298 -krat,https://www.bolha.com/nepremicnine/ptuj-hisa-dvostanovanjska-zelenica-konje-oglas-9445107,9445107,Menjava za drugo nepremičnino ni možna,1408,
284,189.000 €,,,,"142,00 m²",4,2012,Prodam,"Podravska, Ptuj, Ptuj",Visokopritlična,"Zidana hiša (beton, opeka)",Samostojna,"258,00 m²","699,00 m²",,,,Terasa,,Skupna cena,25.08.2022. ob 14:08,do prodaje,6696 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-ptuj-oglas-8414012,8414012,,1385,
285,450.000 €,,,,"291,20 m²",6,2003,Prodam,"Podravska, Gorišnica, Tibolci",,"Zidana hiša (beton, opeka)",Samostojna,"427,50 m²","2.210,00 m²",,,,"Balkon, Zaprt balkon","Vrt/dvorišče, Zimski vrt, Lopa za shranjevanje",Skupna cena,25.08.2022. ob 14:07,do prodaje,12245 -krat,https://www.bolha.com/nepremicnine/prodaja-hisa-samostojna-podravska-gorisnica-gorisnica-oglas-8794853,8794853,,1390,C (35 - 60 kWh/m²a)
286,166.000 €,,,,"137,00 m²",3,2022,Prodam,"Podravska, Hajdina, Hajdina",Visokopritlična,"Zidana hiša (beton, opeka)",Vrstna,"149,00 m²","350,00 m²",,,,Terasa,Vrt/dvorišče,Skupna cena,25.08.2022. ob 14:03,do prodaje,3511 -krat,https://www.bolha.com/nepremicnine/lokacija-hise-ptuj-okolica-hajdina-koncna-enota-137.00-m2-oglas-9096311,9096311,,1399,
